[22:33:10] [Datafixer Bootstrap/INFO]: 237 Datafixer optimizations took 396 milliseconds
[22:33:15] [Render thread/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[22:33:15] [Render thread/INFO]: Setting user: Player
[22:33:15] [Render thread/INFO]: Backend library: LWJGL version 3.3.3+5
[22:33:16] [Render thread/ERROR]: Couldn't set icon
java.io.FileNotFoundException: icons/icon_16x16.png
	at ffm.a(SourceFile:41) ~[minecraft-1.21.3-client.jar:?]
	at ffm.a(SourceFile:25) ~[minecraft-1.21.3-client.jar:?]
	at ffv.a(SourceFile:176) ~[minecraft-1.21.3-client.jar:?]
	at fmg.<init>(SourceFile:528) [minecraft-1.21.3-client.jar:?]
	at net.minecraft.client.main.Main.main(SourceFile:248) [minecraft-1.21.3-client.jar:?]
[22:33:16] [Render thread/INFO]: Reloading ResourceManager: vanilla
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.allay.ambient_with_item
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.allay.ambient_without_item
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.allay.death
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.allay.hurt
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.allay.item_given
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.allay.item_taken
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.allay.item_thrown
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.cave
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.basalt_deltas.additions
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.basalt_deltas.loop
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.basalt_deltas.mood
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.crimson_forest.additions
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.crimson_forest.loop
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.crimson_forest.mood
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.nether_wastes.additions
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.nether_wastes.loop
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.nether_wastes.mood
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.soul_sand_valley.additions
